date,SPY US Equity,EEM US Equity,REET US Equity,ALTY US Equity,IPO US Equity,VBK US Equity,PSP US Equity,IGEB US Equity,TLH US Equity,VYM US Equity,TLT US Equity
2023-01-31,445.2505,46.83,30.5921,18.0228,28.9743,231.0701,75.1673,55.94,129.1123,130.9942,119.5701
2023-02-28,434.0557,43.2861,29.1523,17.5793,28.5496,225.7048,74.6756,54.1581,123.0962,126.394,113.7673
2023-03-31,450.17,44.6787,28.4174,17.5218,29.6013,223.6442,71.0226,55.6564,129.4354,125.6375,119.2758
2023-04-28,457.3615,44.3051,28.8636,17.7659,28.0708,220.8333,73.4813,56.107,129.9584,127.2333,119.6777
2023-05-31,459.4727,43.2408,27.7358,17.3574,30.2587,220.7506,72.0763,55.3645,126.5721,120.7073,116.0778
2023-06-30,489.2531,45.1445,28.6284,17.7607,33.0763,237.8259,75.471,55.658,126.3425,127.3696,116.3286
2023-07-31,505.2679,47.8719,29.5881,18.2156,37.0446,247.9087,80.3494,55.8988,123.9452,132.4851,113.3703
2023-08-31,497.0563,44.6995,28.5412,17.7198,33.0564,237.5878,77.1853,55.4862,121.2657,129.3149,109.8135
2023-09-29,473.4992,43.3073,26.7206,17.2364,32.3357,222.0444,74.9743,54.0885,113.4396,124.9765,101.0864
2023-10-31,463.2202,41.8808,25.4836,16.8316,30.0969,206.3795,69.738,53.1438,108.8966,121.5049,95.569
2023-11-30,505.5325,45.1445,28.1847,17.9258,34.132,226.637,82.5341,56.3224,117.782,129.1133,105.0459
2023-12-29,528.6163,46.77,30.8285,18.6,38.1369,251.2914,91.3615,58.6722,126.4762,136.3726,114.1534
2024-01-31,537.0353,44.6531,29.5153,18.6211,34.4341,244.0157,90.7886,58.6527,124.9108,137.3988,111.5904
2024-02-29,565.0615,46.5142,29.579,18.8106,39.6842,263.5561,94.5929,57.8992,121.9217,141.0026,109.0706
2024-03-28,583.5525,47.782,30.3626,19.1963,41.99,271.4104,97.702,58.6231,123.4998,148.6359,109.9226
2024-04-30,560.0239,47.6773,28.3624,18.707,37.5908,251.6314,93.7175,57.178,116.9093,143.0831,102.8335
2024-05-31,588.3497,48.6078,29.6061,19.1468,39.6741,260.4799,97.3776,58.3782,120.1737,147.4197,105.7993
2024-06-28,609.1095,49.8814,29.906,19.2511,40.7742,260.8175,95.6467,58.7169,122.0315,146.9544,107.7163
2024-07-31,616.4852,50.303,31.784,19.8841,40.7033,272.5795,102.2069,60.1582,126.2809,154.0543,111.6327
2024-08-30,630.8898,50.7949,33.5462,20.2841,42.251,272.5482,102.3321,61.1099,128.5036,157.8087,113.9861
2024-09-30,644.1443,53.7112,34.6557,20.7929,43.3828,279.0936,107.613,62.2569,131.2303,159.9141,116.2589
